"order_month","customer_state","orders_s","gmv_s","aov_s"
"2017-08-01 00:00:00.000","AM","5","1276.6","255.32"
"2017-08-01 00:00:00.000","AL","17","8889.27","522.8982352941176"
"2016-10-01 00:00:00.000","MG","35","4274.950000000001","122.14142857142859"
"2016-10-01 00:00:00.000","SP","94","11911.060000000001","126.71340425531916"
"2016-10-01 00:00:00.000","PI","1","210.0","210.0"
"2016-10-01 00:00:00.000","PR","19","2004.6100000000001","105.50578947368422"
"2018-03-01 00:00:00.000","MG","856","114857.97000000016","134.1798714953273"
"2018-03-01 00:00:00.000","RS","407","56068.39999999996","137.76019656019645"
"2018-03-01 00:00:00.000","PR","369","49983.30999999997","135.45612466124652"
"2018-03-01 00:00:00.000","RJ","864","113062.84000000013","130.85976851851868"
"2018-03-01 00:00:00.000","PE","107","22702.389999999992","212.17186915887842"
"2018-03-01 00:00:00.000","SE","17","2528.42","148.73058823529414"
"2018-03-01 00:00:00.000","AM","8","973.16","121.645"
"2017-05-01 00:00:00.000","RO","8","551.46","68.9325"
"2018-08-01 00:00:00.000","AC","3","446.69","148.89666666666668"
"2018-08-01 00:00:00.000","AM","4","380.70000000000005","95.17500000000001"
"2018-02-01 00:00:00.000","AP","2","1007.9","503.95"
"2017-03-01 00:00:00.000","PB","16","4387.99","274.249375"
"2017-03-01 00:00:00.000","AC","2","455.99","227.995"
"2017-10-01 00:00:00.000","RR","3","388.98","129.66"
"2017-04-01 00:00:00.000","RR","2","48.95","24.475"
"2017-04-01 00:00:00.000","AC","5","1162.38","232.47600000000003"
"2017-01-01 00:00:00.000","MS","1","149.0","149.0"
"2016-09-01 00:00:00.000","SP","1","134.97","134.97"
"2017-09-01 00:00:00.000","RR","1","39.99","39.99"
"2016-10-01 00:00:00.000","MT","1","47.8","47.8"
"2017-05-01 00:00:00.000","SP","1363","171540.35000000044","125.8549889948646"
"2017-05-01 00:00:00.000","RS","206","28407.759999999987","137.90174757281548"
"2017-05-01 00:00:00.000","SC","146","21182.789999999994","145.08760273972598"
"2017-05-01 00:00:00.000","GO","83","16481.18","198.56843373493976"
"2017-05-01 00:00:00.000","MS","26","3167.35","121.82115384615385"
"2017-05-01 00:00:00.000","PE","63","10018.820000000002","159.0288888888889"
"2017-05-01 00:00:00.000","TO","17","2073.4300000000003","121.96647058823531"
"2017-05-01 00:00:00.000","PI","23","5796.52","252.0226086956522"
"2017-05-01 00:00:00.000","AC","8","2094.39","261.79875"
"2017-12-01 00:00:00.000","RJ","746","112259.63000000021","150.48207774798956"
"2017-12-01 00:00:00.000","MA","40","5590.15","139.75375"
"2017-12-01 00:00:00.000","BA","188","27799.76999999999","147.87111702127655"
"2017-12-01 00:00:00.000","AC","5","1100.78","220.156"
"2017-12-01 00:00:00.000","AM","6","1029.46","171.57666666666668"
"2017-12-01 00:00:00.000","AL","12","2223.87","185.3225"
"2017-12-01 00:00:00.000","PI","23","2646.92","115.08347826086957"
"2017-02-01 00:00:00.000","SP","601","73928.93999999997","123.00988352745419"
"2017-02-01 00:00:00.000","CE","13","2095.06","161.15846153846152"
"2017-02-01 00:00:00.000","MA","11","895.28","81.38909090909091"
"2017-02-01 00:00:00.000","RS","100","15003.740000000002","150.03740000000002"
"2017-02-01 00:00:00.000","MT","17","2988.3999999999996","175.7882352941176"
"2017-02-01 00:00:00.000","PA","24","9602.59","400.10791666666665"
"2017-02-01 00:00:00.000","PE","20","2781.91","139.0955"
"2017-07-01 00:00:00.000","RJ","547","74961.74999999997","137.0415904936014"
"2017-07-01 00:00:00.000","GO","77","8923.19","115.88558441558442"
"2017-07-01 00:00:00.000","BA","144","18469.739999999998","128.26208333333332"
"2017-07-01 00:00:00.000","RN","27","3193.99","118.29592592592591"
"2017-07-01 00:00:00.000","RO","10","1083.72","108.372"
"2017-07-01 00:00:00.000","PA","36","4474.0199999999995","124.27833333333332"
"2017-07-01 00:00:00.000","PI","20","2202.01","110.10050000000001"
"2018-08-01 00:00:00.000","DF","143","19881.599999999995","139.0321678321678"
"2018-08-01 00:00:00.000","ES","103","16447.04","159.68"
"2018-08-01 00:00:00.000","PE","83","11648.230000000001","140.34012048192773"
"2018-08-01 00:00:00.000","AL","16","2253.2799999999997","140.82999999999998"
"2017-06-01 00:00:00.000","ES","79","10345.829999999998","130.9598734177215"
"2017-06-01 00:00:00.000","GO","73","8797.84","120.51835616438356"
"2017-06-01 00:00:00.000","CE","44","9560.2","217.27727272727273"
"2017-06-01 00:00:00.000","AC","4","385.78000000000003","96.44500000000001"
"2017-06-01 00:00:00.000","RN","12","1241.3600000000001","103.44666666666667"
"2017-06-01 00:00:00.000","MT","24","4261.629999999999","177.56791666666663"
"2017-06-01 00:00:00.000","PB","22","5731.92","260.5418181818182"
"2017-06-01 00:00:00.000","AL","10","951.65","95.16499999999999"
