"order_month","main_category","orders_c","gmv_c","aov_c"
"2017-10-01 00:00:00.000","tablets_impressao_imagem","1","99.0","99.0"
"2017-10-01 00:00:00.000","construcao_ferramentas_iluminacao","2","500.0","250.0"
"2017-02-01 00:00:00.000","esporte_lazer","134","15629.98","116.64164179104478"
"2017-02-01 00:00:00.000","bebes","29","2740.7799999999997","94.50965517241379"
"2017-02-01 00:00:00.000","eletroportateis","25","7251.58","290.0632"
"2017-02-01 00:00:00.000","telefonia_fixa","18","759.23","42.17944444444444"
"2017-02-01 00:00:00.000","telefonia","95","6693.34","70.45621052631579"
"2017-02-01 00:00:00.000","brinquedos","61","9390.339999999998","153.93999999999997"
"2017-02-01 00:00:00.000","papelaria","19","2341.3999999999996","123.2315789473684"
"2017-02-01 00:00:00.000","fashion_roupa_masculina","6","545.95","90.99166666666667"
"2017-02-01 00:00:00.000","malas_acessorios","19","1659.19","87.32578947368421"
"2017-02-01 00:00:00.000","casa_construcao","3","695.6","231.86666666666667"
"2017-05-01 00:00:00.000","cool_stuff","230","32700.39999999998","142.17565217391297"
"2017-05-01 00:00:00.000","esporte_lazer","253","33920.84999999998","134.07450592885365"
"2017-05-01 00:00:00.000","cama_mesa_banho","319","32644.45999999997","102.33373040752342"
"2017-05-01 00:00:00.000","","81","10827.52","133.6730864197531"
"2017-05-01 00:00:00.000","eletrodomesticos","28","1912.79","68.31392857142858"
"2017-05-01 00:00:00.000","moveis_quarto","6","2369.9700000000003","394.99500000000006"
"2017-05-01 00:00:00.000","bebes","95","9220.810000000001","97.06115789473685"
"2017-05-01 00:00:00.000","market_place","20","2424.9800000000005","121.24900000000002"
"2017-05-01 00:00:00.000","climatizacao","6","914.87","152.47833333333332"
"2017-12-01 00:00:00.000","telefonia","236","12730.44999999999","53.942584745762666"
"2017-12-01 00:00:00.000","beleza_saude","424","60613.23999999993","142.95575471698098"
"2017-12-01 00:00:00.000","fashion_calcados","12","1099.0","91.58333333333333"
"2017-12-01 00:00:00.000","brinquedos","413","55199.54999999993","133.65508474576254"
"2017-12-01 00:00:00.000","pet_shop","68","7096.750000000001","104.3639705882353"
"2017-12-01 00:00:00.000","moveis_escritorio","38","6684.37","175.90447368421053"
"2017-12-01 00:00:00.000","construcao_ferramentas_construcao","22","5875.3","267.0590909090909"
"2017-12-01 00:00:00.000","alimentos_bebidas","18","1033.68","57.42666666666667"
"2017-12-01 00:00:00.000","artigos_de_natal","14","493.90000000000003","35.27857142857143"
"2017-12-01 00:00:00.000","eletrodomesticos_2","8","1990.16","248.77"
"2017-12-01 00:00:00.000","eletrodomesticos","16","1331.0","83.1875"
"2017-12-01 00:00:00.000","moveis_colchao_e_estofado","8","803.7","100.4625"
"2017-01-01 00:00:00.000","telefonia","17","755.9399999999999","44.467058823529406"
